frequency,wavelength,ajoint,score,mean_fx,mean_fy,mean_abs_fy,mean_force_mag,peak_force_mag,energy_proxy
1.25,1.55,0.45,4.960132870264312,5.735488340547619,-0.47414752604173466,15.507109405666126,18.984181949941263,28.4206206814083,0.10118945107828495
1.25,1.5,0.45,4.950074352244885,5.7136052064126925,-0.48757811073412055,15.270617083356147,18.4121995772228,27.854670879847315,0.10108972293478326
1.25,1.6,0.45,4.939216385025683,5.723663219327983,-0.45620380551647094,15.68893668604599,19.511538588821004,28.831989217873986,0.10126710203083836
1.25,1.45,0.45,4.906521330346103,5.6552957237747,-0.49549650437476533,14.975487868571951,17.792449550660127,27.254161672135666,0.10097180529728575
1.25,1.65,0.45,4.889050269019309,5.679977439205217,-0.43660082879897044,15.818543403718166,19.99528811816246,28.880092062864215,0.10132096139435648
1.25,1.4,0.45,4.822660097322397,5.553581389324788,-0.49743218301029024,14.618425840047811,17.120045374494833,26.56955504748019,0.1008423583634952
1.25,1.7000000000000002,0.45,4.805805098807613,5.6007244736567845,-0.41869594391829423,15.898387496983425,20.43528606272916,28.90187472251092,0.10135092472561354
1.25,1.35,0.45,4.687916066488686,5.397979115661303,-0.49279755430861877,14.201260983452341,16.393817859948616,25.783240933866214,0.10071135502874877
1.25,1.75,0.45,4.678964902040224,5.475596502280024,-0.40382367972992084,15.932632004795984,20.832838668523294,28.907656896201075,0.10135801332837746
1.3,1.45,0.45,4.5619110042020985,5.335048860321289,0.2059418772566772,15.462757122383818,18.36295381849534,27.67505046249871,0.10176044604824541
1.3,1.4,0.45,4.545851653223586,5.304191675587474,0.20091261861882018,15.166800447277769,17.724188424123955,27.04048416155264,0.1017632461675029
1.3,1.5,0.45,4.538956014754425,5.323528423319319,0.21087687325580737,15.691448171297871,18.949594629774825,28.287788635204173,0.10173707743627775
1.25,1.8,0.45,4.522324693350404,5.31965630848621,-0.3851970863214468,15.94663230271612,21.207705033946443,28.905550237446203,0.10134398210880077
1.25,1.3,0.45,4.490743239398385,5.176997349225377,-0.4821942777166535,13.725082196539834,15.612547950963942,24.870673512098517,0.10059238623037448
1.3,1.55,0.45,4.479496954542625,5.272510143047247,0.21552931940543021,15.86026377009246,19.487702179026417,28.881543161050722,0.10169729332055194
1.3,1.35,0.45,4.479393834837454,5.219215734750902,0.19585257992736146,14.796437998268956,17.025727183500283,26.30544517008967,0.10174192355681559
1.2000000000000002,1.55,0.45,4.417129089143796,5.138610035486646,-1.7105360081133658,14.429618926857,17.638380068320448,27.858723352249385,0.10076545632544545
1.2000000000000002,1.6,0.45,4.405159550381879,5.137546932145662,-1.72214624681044,14.64774763527567,18.177547583217887,28.375702465294985,0.10082175480870213
1.2000000000000002,1.5,0.45,4.404935269858562,5.113062903704591,-1.6914370904482672,14.162552676920585,17.06020896265671,27.29132322998134,0.10072239530350002
1.3,1.6,0.45,4.373862672289936,5.17244502897914,0.21808540962242812,15.97164713378408,19.975536762083784,28.95833684839389,0.10164529782954813
